# gunzip -c exp/tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Dec  9 11:39:39 IST 2023
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 42.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 47.0% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,56.0,258) frames.
At utterance begin, sil accounts for 42.0% of phone occurrences, with duration (median, mean, 95-percentile) is (27,35.0,59) frames.
At utterance begin, CH_B accounts for 11.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.4,13) frames.
At utterance begin, TH_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.7,28) frames.
At utterance begin, DH_B accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,12.9,20) frames.
At utterance begin, EY_B accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,43.0,46) frames.
At utterance begin, P_B accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (131,212.6,266) frames.
At utterance begin, N_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.2,19) frames.
At utterance begin, AH_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,23.5,14) frames.
At utterance begin, S_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (142,146.0,147) frames.
At utterance begin, SH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (254,264.0,254) frames.
At utterance end, nonsilence accounts for 53.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.0,37) frames.
At utterance end, sil accounts for 47.0% of phone occurrences, with duration (median, mean, 95-percentile) is (40,48.0,90) frames.
At utterance end, AW_E accounts for 11.0% of phone occurrences, with duration (median, mean, 95-percentile) is (25,27.5,31) frames.
At utterance end, N_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,4) frames.
At utterance end, OW_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.4,26) frames.
At utterance end, CH_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (19,18.8,20) frames.
At utterance end, EY_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.8,24) frames.
At utterance end, T_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,20.8,40) frames.
At utterance end, R_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.8,5) frames.
At utterance end, TH_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,3) frames.
At utterance end, Y_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,26.0,4) frames.
At utterance end, K_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, nonsilence accounts for 83.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,23.0,63) frames.
Overall, AH_I accounts for 17.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.9,29) frames.
